category	series_slug	raw_title	product_id	product_code	model_slug	url
all-aio	251q01	DT インターネットやメールに最適なデスクトップ	PC-GJ353ZZ5T5D1A2AAA	10010721	pc-gj353zz5t5d1a2aaa	https://www.nec-lavie.jp/products/desktop/dt/251q01.html
all-aio	251q01	DT インターネットやメールに最適なデスクトップ	PC-GJ353ZZAT5D1A4AAA	10010226	pc-gj353zzat5d1a4aaa	https://www.nec-lavie.jp/products/desktop/dt/251q01.html
all-aio	251q01	DT インターネットやメールに最適なデスクトップ(ミニマムソフト）	PC-GJ353ZZDT5D1A4AAA	10010225	pc-gj353zzdt5d1a4aaa	https://www.nec-lavie.jp/products/desktop/dt/251q01.html
all-aio	251q01	DTエントリーモデル	PC-GJ39EZZ5T5D1A2AAA	10010379	pc-gj39ezz5t5d1a2aaa	https://www.nec-lavie.jp/products/desktop/dt/251q01.html
all-aio	251q01	DT(ミニマムモデル)エントリーモデル	PC-GJ39EZZ6T5D1A2AAA	10011243	pc-gj39ezz6t5d1a2aaa	https://www.nec-lavie.jp/products/desktop/dt/251q01.html
all-aio	251q01	DT エントリーモデル	PC-GJ39EZZAT5D1A4AAA	10010224	pc-gj39ezzat5d1a4aaa	https://www.nec-lavie.jp/products/desktop/dt/251q01.html
all-aio	251q01	DT エントリーモデル(ミニマムソフト）	PC-GJ39EZZDT5D1A4AAA	10010223	pc-gj39ezzdt5d1a4aaa	https://www.nec-lavie.jp/products/desktop/dt/251q01.html
tablet-smalllight	t8	LAVIE Tab T8(PC-T0855KAS)(ルナグレー)	PC-T0855KAS	897848	pc-t0855kas	https://www.nec-lavie.jp/products/tablet/t8/index.html
tablet-smalllight	t10	LAVIE Tab T10(PC-T1055KAS)(ルナグレー)	PC-T1055KAS	897573	pc-t1055kas	https://www.nec-lavie.jp/products/tablet/t10/
tablet-smalllight	direct-t11n	LAVIE Tab T11N(PC-T1175LAC)(サンドローズ)	PC-T1175LAC	898343	pc-t1175lac	https://www.nec-lavie.jp/products/tablet/direct-t11n/
tablet-smalllight	direct-t11n	LAVIE Tab T11N(PC-T1175LAS)(ルナグレー)	PC-T1175LAS	898344	pc-t1175las	https://www.nec-lavie.jp/products/tablet/direct-t11n/
tablet-smalllight	t12n	LAVIE Tab T12N(PC-T1275LAS)(クラウドグレー)	PC-T1275LAS	898872	pc-t1275las	https://www.nec-lavie.jp/products/tablet/t12n/
tablet-smalllight	t8	LAVIE Tab T8(PC-TAB08H05)(ルナグレー)	PC-TAB08H05	897849	pc-tab08h05	https://www.nec-lavie.jp/products/tablet/t8/index.html
tablet-smalllight	t10	LAVIE Tab T10(PC-TAB10F03)(ルナグレー)	PC-TAB10F03	897574	pc-tab10f03	https://www.nec-lavie.jp/products/tablet/t10/index.html
tablet-smalllight	ex	LAVIE Tab EX(PC-TAB11301)(シーシェル)	PC-TAB11301	898873	pc-tab11301	https://www.nec-lavie.jp/products/tablet/ex/
tablet-smalllight	direct-t11n	LAVIE Tab T11N(PC-TAB11Q02)(ルナグレー)	PC-TAB11Q02	898345	pc-tab11q02	https://www.nec-lavie.jp/products/tablet/direct-t11n/
tablet-smalllight	t12	LAVIE Tab T12(PC-TAB12Q01)(クラウドグレー)	PC-TAB12Q01	899074	pc-tab12q01	https://www.nec-lavie.jp/products/tablet/t12/
tablet-smalllight	ex	LAVIE Tab EX(PC-TX117LAS)(シーシェル)	PC-TX117LAS	898874	pc-tx117las	https://www.nec-lavie.jp/products/tablet/ex/
